x, y
8.524298056155507, 43.04558074461247
8.56317494600432, 45.31583637600818
8.611771058315334, 48.69675251658631
8.645788336933045, 50.74078044822397
8.670086393088553, 53.41688657947674
8.699244060475163, 54.526439884794726
8.718682505399569, 56.815166758302816
8.742980561555076, 58.594539150692135
8.772138228941685, 61.0540229658533
8.806155507559396, 65.60913102961545
8.835313174946004, 68.36304970929193
8.869330453563714, 72.71217620593886
8.898488120950324, 75.76424254413006
8.927645788336934, 82.25808058324752
8.966522678185745, 88.39517733744354
9.024838012958963, 103.13186160300994
9.07829373650108, 119.09481582664233
9.131749460043197, 140.3852334629648
9.180345572354211, 163.78937069540646
9.219222462203025, 193.06977288832496
9.243520518358531, 225.2571429460649
9.267818574514038, 262.81058753600627
9.292116630669547, 312.99378519892326
9.306695464362852, 365.1741272548377
9.330993520518359, 434.9034543006975
9.345572354211663, 491.9990743844295
9.360151187904968, 598.1164049731415
9.374730021598273, 690.694049210208
9.394168466522679, 805.8421877614818
9.413606911447085, 949.901495526679
9.442764578833692, 1096.929134263783
9.471922246220302, 1279.8022139979525
9.56425485961123, 1742.093372561391
9.62257019438445, 2074.7428935801286
9.782937365010799, 2628.1058753600596
9.855831533477321, 2824.1831473191687
9.919006479481641, 3034.8893187223157
9.991900647948164, 3261.3158199877503
10.07451403887689, 3540.8468496430205
10.132829373650107, 3924.189758484536
10.200863930885529, 4260.53645543091
10.23974082073434, 3689.472568778119
10.288336933045356, 3194.9516165774658
10.370950323974082, 3194.9516165774658
10.39524838012959, 3689.472568778119
10.448704103671707, 4349.03454300697
10.502159827213823, 4260.53645543091
10.579913606911447, 3844.336796757691
10.657667386609072, 4131.154416499512
10.730561555075594, 4485.240285961048
10.81317494600432, 4869.675251658631
10.886069114470843, 5126.505510930481
10.958963282937365, 5179.474679231213
11.026997840172786, 5452.643988479473
11.114470842332613, 5799.530772318422
11.177645788336934, 5859.4539150692135
11.245680345572355, 5799.530772318422
11.333153347732182, 5341.688657947671
11.376889848812095, 4578.4058278544135
11.401187904967603, 3884.0580693395655
11.42548596112311, 3261.3158199877503
11.444924406047516, 2766.714114817652
11.45464362850972, 2445.641848213144
11.469222462203025, 2074.7428935801286
11.474082073434126, 1760.09339945106
11.493520518358531, 1462.778510105115
11.517818574514038, 1253.7596412626904
11.532397408207345, 1108.2630582794507
11.556695464362852, 921.055317689482
11.571274298056156, 822.5808058324748
11.600431965442764, 676.6391821240043
11.634449244060475, 579.9530772318428
11.692764578833692, 502.2186741056605
11.765658747300217, 502.2186741056605
11.804535637149028, 610.5402296585327
11.823974082073434, 676.6391821240043
11.838552915766739, 805.8421877614818
11.862850971922246, 949.901495526679
11.90172786177106, 1154.781984689458
11.926025917926566, 1063.6180877702395
11.94060475161987, 902.3128512038223
11.960043196544277, 805.8421877614818
11.979481641468682, 642.7405710315412
11.989200863930886, 579.9530772318428
12.00377969762419, 491.9990743844295
12.023218142548597, 408.89061525121826
12.052375809935207, 339.82083289425594
12.06695464362851, 291.26326549087383
12.10097192224622, 252.22359662044764
12.13498920086393, 218.416636182868
12.183585313174946, 185.29220216409522
12.222462203023758, 160.45643647092714
12.309935205183585, 131.98838481326268
12.373110151187905, 121.56860370550113
12.446004319654428, 107.46078283213176
12.538336933045358, 97.96510957314968
12.601511879049676, 92.10553176894815
12.684125269978402, 84.83428982440721
12.757019438444924, 79.76010449601618
12.834773218142548, 74.98942093324558
12.893088552915767, 72.71217620593886
12.995140388768899, 69.78305848598663
