standard mrn mixture (a_min = 0.005, amax = 0.25)
 lambda 	 <C_abs>/v 	 <C_sca>/v
0.0304 	 0.0019220794143450328 	 0.015786238177376555
0.04 	 0.0027363005553750434 	 0.013997987824403873
0.05043 	 0.003900836672429081 	 0.015246980159892258
0.06 	 0.005279399763640871 	 0.016231051843063758
0.07 	 0.005224251159049984 	 0.013219586858348677
0.08 	 0.0038207128861429828 	 0.007205651649269079
0.0912 	 0.0031070687601267807 	 0.004403771027351881
0.1 	 0.002413322112867528 	 0.003194298807444994
0.11 	 0.0016332361737088498 	 0.0019280768496915757
0.12 	 0.0012874845110983245 	 0.0013021358100299132
0.13 	 0.0010175058194448437 	 0.0008790638221855344
0.14 	 0.0009511178862577195 	 0.0006621118231705989
0.15 	 0.0005569261634235798 	 0.0005956838597490705
0.16 	 0.00026905593171104597 	 0.00037543313524906016
0.17 	 0.0001784111827532324 	 0.00026152954986954994
0.18 	 0.0001223613270844736 	 0.0001914786367292219
0.19 	 8.017698634954792e-05 	 0.0001431493598845795
0.2 	 5.735265871323479e-05 	 0.00010929936375537532
0.21 	 4.2762611771189136e-05 	 8.536932871626887e-05
0.215 	 3.647369471976102e-05 	 7.582560085797408e-05
0.2175 	 3.386528121062032e-05 	 7.15668163663684e-05
0.22 	 3.157867923462804e-05 	 6.757615477188345e-05
0.23 	 2.6632235372836983e-05 	 5.412193886876809e-05
0.24 	 2.5953697424940502e-05 	 4.415475590628794e-05
0.25 	 2.64743815760904e-05 	 3.650536461847587e-05
0.274 	 2.4986675425017132e-05 	 2.4238519965373222e-05
0.3 	 2.3396802921983177e-05 	 1.6290118389694923e-05
0.344 	 2.092780420006484e-05 	 9.108865176439022e-06
0.365 	 1.9888724172384826e-05 	 7.0994476084655065e-06
0.4 	 1.8358988661996064e-05 	 4.851756414279884e-06
0.44 	 1.68094800805925e-05 	 3.2795018757488066e-06
0.4861 	 1.531168982708189e-05 	 2.183084459196262e-06
0.55 	 1.3641515153985862e-05 	 1.320845766272307e-06
0.6562 	 1.1547305926105447e-05 	 6.477289795587051e-07
0.7 	 1.0866454572468858e-05 	 4.991395541005134e-07
0.8 	 9.586356710988553e-06 	 2.9196796681880644e-07
0.9 	 8.581065599576821e-06 	 1.822787956466797e-07
1.0 	 7.771701749034722e-06 	 1.195958853802079e-07
1.25 	 6.307663282518726e-06 	 4.8989127199749335e-08
1.5 	 5.392414989034273e-06 	 2.3576793888767607e-08
1.65 	 4.974662594427115e-06 	 1.6069594008285432e-08
2.0 	 4.2651224203938225e-06 	 7.413398882009089e-09
2.2 	 3.971821917079778e-06 	 5.0530592080777575e-09
3.0 	 3.2234784931288934e-06 	 1.4273568476500278e-09
3.4 	 3.0086735989650206e-06 	 8.501792141458502e-10
4.0 	 2.7150601818206427e-06 	 4.300636817675731e-10
5.0 	 2.4020223577683145e-06 	 1.6017235802110407e-10
6.0 	 2.413111560614719e-06 	 6.545813596053682e-11
7.0 	 2.5144416335679108e-06 	 2.5140835827001428e-11
8.0 	 7.877861154695028e-06 	 5.724098215076504e-12
9.0 	 2.5388698488958118e-05 	 1.861930376773692e-11
9.5 	 3.202660275580406e-05 	 3.175041507407728e-11
9.7 	 3.1138124109988e-05 	 3.277564019612709e-11
10.0 	 2.9074902866080134e-05 	 3.1813986833592915e-11
11.0 	 2.0279089942167846e-05 	 2.4684270599075654e-11
12.0 	 1.3501479306999703e-05 	 1.628854516929962e-11
13.0 	 9.059993422991642e-06 	 1.0319974788651636e-11
14.0 	 6.760558783886638e-06 	 6.155338016094683e-12
15.0 	 7.462799095549011e-06 	 3.964816608813479e-12
16.0 	 8.967711832898321e-06 	 3.1184443291382504e-12
17.0 	 1.0505408126326761e-05 	 2.8605162094754357e-12
18.0 	 1.136238964362574e-05 	 2.8150098741506063e-12
19.0 	 1.1171571506019906e-05 	 2.700575352364352e-12
20.0 	 1.0144351062475153e-05 	 2.4391956715172427e-12
25.0 	 6.219089496531592e-06 	 1.1239434830909562e-12
30.0 	 4.225010989472829e-06 	 5.605613936712666e-13
50.0 	 1.4892963672955488e-06 	 7.606643261622321e-14
70.0 	 7.26233926017146e-07 	 1.9927277143261742e-14
100.0 	 3.416857110341067e-07 	 4.7739125476209815e-15
150.0 	 1.4790922385877864e-07 	 9.400834481357458e-16
200.0 	 8.236578284701769e-08 	 2.9703914602295316e-16
300.0 	 3.635026231603231e-08 	 5.861548992760308e-17
500.0 	 1.3026576441785828e-08 	 7.593657165437736e-18
700.0 	 6.64116102734902e-09 	 1.97613477493207e-18
1000.0 	 3.251536957716107e-09 	 4.744608797903089e-19
1200.0 	 2.257909667787655e-09 	 2.2879035655049667e-19
1500.0 	 1.4453284816526296e-09 	 9.370587954456947e-20
2000.0 	 8.132017647001133e-10 	 2.964748891899037e-20
